,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
621,Winchester,England,E14001041,CON HOLD,985,"75,582",77.9%,-0.9
622,Windsor,England,E14001042,CON HOLD,"20,079","75,038",71.6%,-1.6
623,Wirral South,England,E14001043,LAB HOLD,"6,105","57,280",76.0%,-2.3
624,Wirral West,England,E14001044,LAB HOLD,"3,003","55,550",77.3%,-1.2
625,Witham,England,E14001045,CON HOLD,"24,082","70,402",70.1%,-1.1
626,Witney,England,E14001046,CON HOLD,"15,177","83,845",73.1%,-0.5
627,Woking,England,E14001047,CON HOLD,"9,767","75,455",71.5%,-1.0
628,Wokingham,England,E14001048,CON HOLD,"7,383","83,953",73.8%,-1.6
629,Wolverhampton North East,England,E14001049,CON GAIN FROM LAB,"4,080","61,829",55.4%,-4.6
630,Wolverhampton South East,England,E14001050,LAB HOLD,"1,235","63,006",53.1%,-7.1
631,Wolverhampton South West,England,E14001051,CON GAIN FROM LAB,"1,661","60,895",67.6%,-3.1
632,Worcester,England,E14001052,CON HOLD,"6,758","73,475",69.3%,-0.3
633,Worcestershire Mid,England,E14000818,CON HOLD,"28,018","78,221",71.7%,-0.7
634,Worcestershire West,England,E14001035,CON HOLD,"24,499","76,267",75.4%,-0.5
635,Workington,England,E14001053,CON GAIN FROM LAB,"4,176","61,370",67.8%,-1.4
636,Worsley & Eccles South,England,E14001054,LAB HOLD,"3,219","75,219",59.4%,-2.5
637,Worthing East & Shoreham,England,E14000682,CON HOLD,"7,441","75,195",70.7%,+0.4
638,Worthing West,England,E14001055,CON HOLD,"14,823","78,587",69.5%,-0.6
639,"Wrekin, The",England,E14000992,CON HOLD,"18,726","70,693",69.2%,-3.0
640,Wrexham,Wales,W07000044,CON GAIN FROM LAB,"2,131","49,734",67.4%,-2.9
641,Wycombe,England,E14001056,CON HOLD,"4,214","78,094",70.1%,+0.7
642,Wyre & Preston North,England,E14001057,CON HOLD,"16,781","75,168",70.4%,-2.4
643,Wyre Forest,England,E14001058,CON HOLD,"21,413","78,079",64.8%,-1.0
644,Wythenshawe & Sale East,England,E14001059,LAB HOLD,"10,396","76,313",58.7%,-1.4
645,Yeovil,England,E14001060,CON HOLD,"16,181","82,468",71.9%,+0.2
646,Ynys Mon,Wales,W07000041,CON GAIN FROM LAB,"1,968","51,925",70.4%,-0.2
647,York Central,England,E14001061,LAB HOLD,"13,545","74,801",66.2%,-2.5
648,York Outer,England,E14001062,CON HOLD,"9,985","74,673",74.1%,-1.6
649,Yorkshire East,England,E14000683,CON HOLD,"22,787","80,871",65.3%,-1.3
