,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
202,"Dumfriesshire, Clydesdale & Tweeddale",Scotland,S14000014,CON HOLD,"3,781","68,330",71.9%,-0.4
203,Dunbartonshire East,Scotland,S14000018,SNP GAIN FROM LD,149,"66,075",80.3%,+2.1
204,Dunbartonshire West,Scotland,S14000059,SNP HOLD,"9,553","66,517",67.9%,+2.7
205,Dundee East,Scotland,S14000015,SNP HOLD,"13,375","66,210",68.4%,+3.2
206,Dundee West,Scotland,S14000016,SNP HOLD,"12,259","64,431",64.5%,+2.8
207,Dunfermline & West Fife,Scotland,S14000017,SNP HOLD,"10,699","76,652",69.8%,+2.4
208,Durham North,England,E14000840,LAB HOLD,"4,742","66,796",63.2%,-1.5
209,Durham North West,England,E14000856,CON GAIN FROM LAB,"1,144","72,166",66.0%,-0.6
210,"Durham, City of",England,E14000641,LAB HOLD,"5,025","71,271",68.6%,+0.6
211,Dwyfor Meirionnydd,Wales,W07000061,PC HOLD,"4,740","44,362",67.5%,-0.4
212,Ealing Central & Acton,England,E14000674,LAB HOLD,"13,300","75,510",72.6%,-2.0
213,Ealing North,England,E14000675,LAB HOLD,"12,269","74,473",66.6%,-3.6
214,Ealing Southall,England,E14000676,LAB HOLD,"16,084","64,580",65.4%,-3.9
215,Easington,England,E14000677,LAB HOLD,"6,581","61,182",56.5%,-1.8
216,East Antrim,Northern Ireland,N06000005,DUP HOLD,"6,706","64,830",57.5%,-3.2
217,East Ham,England,E14000679,LAB HOLD,"33,176","88,316",61.9%,-5.6
218,"East Kilbride, Strathaven & Lesmahagow",Scotland,S14000019,SNP HOLD,"13,322","81,224",69.4%,+2.1
219,East Londonderry,Northern Ireland,N06000006,DUP HOLD,"9,607","69,246",56.8%,-4.4
220,East Lothian,Scotland,S14000020,SNP GAIN FROM LAB,"3,886","81,600",71.7%,+1.1
221,Eastbourne,England,E14000684,CON GAIN FROM LD,"4,331","79,307",69.5%,-3.4
222,Eastleigh,England,E14000685,CON HOLD,"15,607","83,880",70.3%,-0.2
223,Eddisbury,England,E14000686,CON HOLD,"18,443","73,700",71.9%,-1.2
224,Edinburgh East,Scotland,S14000022,SNP HOLD,"10,417","69,424",68.9%,+2.8
225,Edinburgh North & Leith,Scotland,S14000023,SNP HOLD,"12,808","81,336",73.0%,+1.8
226,Edinburgh South,Scotland,S14000024,LAB HOLD,"11,095","66,188",75.1%,+1.0
227,Edinburgh South West,Scotland,S14000025,SNP HOLD,"11,982","73,501",70.9%,+1.5
228,Edinburgh West,Scotland,S14000026,LD HOLD,"3,769","72,507",75.2%,+1.4
229,Edmonton,England,E14000687,LAB HOLD,"16,015","65,568",61.5%,-4.9
230,Ellesmere Port & Neston,England,E14000688,LAB HOLD,"8,764","70,327",69.3%,-4.9
231,Elmet & Rothwell,England,E14000689,CON HOLD,"17,353","80,957",71.9%,-2.2
232,Eltham,England,E14000690,LAB HOLD,"3,197","64,084",68.2%,-3.4
233,Enfield North,England,E14000691,LAB HOLD,"6,492","68,066",66.2%,-5.2
234,Enfield Southgate,England,E14000692,LAB HOLD,"4,450","65,055",72.7%,-1.4
235,Epping Forest,England,E14000693,CON HOLD,"22,173","74,305",67.7%,-0.3
236,Epsom & Ewell,England,E14000694,CON HOLD,"17,873","81,138",73.3%,-0.8
237,Erewash,England,E14000695,CON HOLD,"10,606","72,519",67.3%,-0.9
238,Erith & Thamesmead,England,E14000696,LAB HOLD,"3,758","65,399",63.3%,-0.5
239,Esher & Walton,England,E14000697,CON HOLD,"2,743","81,184",77.7%,+3.8
240,Exeter,England,E14000698,LAB HOLD,"10,403","82,043",68.5%,-3.2
241,Falkirk,Scotland,S14000028,SNP HOLD,"14,948","84,472",66.1%,+0.7
242,Fareham,England,E14000699,CON HOLD,"26,086","78,337",73.1%,+0.8
243,Faversham & Mid Kent,England,E14000700,CON HOLD,"21,976","73,404",68.7%,-6.2
244,Feltham & Heston,England,E14000701,LAB HOLD,"7,859","80,932",59.1%,-5.8
245,Fermanagh & South Tyrone,Northern Ireland,N06000007,SF HOLD,57,"72,848",69.7%,-6.1
246,Fife North East,Scotland,S14000049,LD GAIN FROM SNP,"1,316","60,905",75.3%,+4.1
247,Filton & Bradley Stoke,England,E14000702,CON HOLD,"5,646","74,016",72.6%,+2.7
248,Finchley & Golders Green,England,E14000703,CON HOLD,"6,562","77,573",71.0%,-0.4
249,Folkestone & Hythe,England,E14000704,CON HOLD,"21,337","88,273",66.8%,-1.4
250,Forest of Dean,England,E14000705,CON HOLD,"15,869","71,438",72.1%,-1.0
251,Foyle,Northern Ireland,N06000008,SDLP GAIN FROM SF,"17,110","74,346",63.4%,-2.0
252,Fylde,England,E14000706,CON HOLD,"16,611","66,847",69.8%,-0.7
